account_id,borrower_id,product_type,employment_type,loan_amount,outstanding_balance,emi_amount,loan_start_date,loan_tenure_months,dpd_at_snapshot,snapshot_date,went_delinquent_30d,went_delinquent_60d
ACC_00001,BRW_00001,Personal Loan,Salaried,605000,133604.17,20677.47,2022-03-22,36,0,2024-12-31,False,False
ACC_00002,BRW_00002,Personal Loan,Salaried,115000,54720.83,2675.85,2021-11-23,60,0,2024-12-31,False,True
ACC_00003,BRW_00003,Business Loan,Self-Employed,4532000,1107822.22,154893.02,2022-04-26,36,0,2024-12-31,True,True
ACC_00004,BRW_00004,Credit Card,Salaried,475000,104895.83,42648.88,2023-12-29,12,0,2024-12-31,True,True
ACC_00005,BRW_00005,Business Loan,Self-Employed,1725000,503125.0,82822.22,2023-04-18,24,0,2024-12-31,True,True
ACC_00006,BRW_00006,Credit Card,Salaried,356000,78616.67,31964.21,2023-01-03,12,0,2024-12-31,False,False
ACC_00007,BRW_00007,Home Loan,Salaried,2297000,2118025.42,28563.67,2023-02-04,240,0,2024-12-31,True,True
ACC_00008,BRW_00008,Personal Loan,Salaried,225000,129375.0,5235.36,2022-06-02,60,0,2024-12-31,False,False
ACC_00009,BRW_00009,Personal Loan,Salaried,673000,148620.83,60426.73,2022-08-07,12,0,2024-12-31,False,False
ACC_00010,BRW_00010,Personal Loan,Salaried,848000,367466.67,40714.93,2023-08-28,24,0,2024-12-31,False,False
ACC_00011,BRW_00011,Business Loan,Self-Employed,2585000,1303270.83,124113.3,2023-10-05,24,0,2024-12-31,False,True
ACC_00012,BRW_00012,Personal Loan,Salaried,60000,21750.0,2880.77,2023-06-04,24,0,2024-12-31,False,False
ACC_00013,BRW_00013,Credit Card,Salaried,400000,88333.33,35914.85,2023-08-20,12,0,2024-12-31,False,True
ACC_00014,BRW_00014,Personal Loan,Salaried,289000,166175.0,13875.72,2023-12-01,24,0,2024-12-31,False,True
ACC_00015,BRW_00015,Personal Loan,Self-Employed,444000,139983.33,15174.87,2022-07-11,36,0,2024-12-31,False,True
ACC_00016,BRW_00016,Auto Loan,Self-Employed,979000,341018.33,22779.62,2021-02-08,60,0,2024-12-31,False,False
ACC_00017,BRW_00017,Personal Loan,Salaried,701000,390661.46,19155.86,2022-11-22,48,0,2024-12-31,False,False
ACC_00018,BRW_00018,Personal Loan,Salaried,508000,292100.0,24390.54,2023-12-13,24,0,2024-12-31,False,True
ACC_00019,BRW_00019,Credit Card,Salaried,67000,14795.83,6015.74,2022-06-06,12,0,2024-12-31,True,True
ACC_00020,BRW_00020,Business Loan,Self-Employed,858000,311025.0,23446.12,2021-12-14,48,0,2024-12-31,True,True
ACC_00021,BRW_00021,Auto Loan,Salaried,1311000,586672.5,30504.68,2021-09-01,60,0,2024-12-31,False,False
ACC_00022,BRW_00022,Auto Loan,Self-Employed,766000,331933.33,26180.06,2022-12-11,36,0,2024-12-31,True,True
ACC_00023,BRW_00023,Auto Loan,Salaried,572000,396427.78,19549.6,2023-11-20,36,0,2024-12-31,False,False
ACC_00024,BRW_00024,Home Loan,Salaried,5946000,5440590.0,73939.75,2022-12-14,240,0,2024-12-31,False,True
ACC_00025,BRW_00025,Business Loan,Self-Employed,3988000,2504962.5,108977.99,2023-03-02,48,0,2024-12-31,False,True
ACC_00026,BRW_00026,Auto Loan,Salaried,736000,384100.0,20112.29,2022-09-01,48,0,2024-12-31,False,False
ACC_00027,BRW_00027,Business Loan,Self-Employed,3712000,1520888.89,126867.36,2022-11-19,36,0,2024-12-31,True,True
ACC_00028,BRW_00028,Credit Card,Salaried,256000,56533.33,22985.5,2023-10-03,12,0,2024-12-31,True,True
ACC_00029,BRW_00029,Credit Card,Salaried,172000,37983.33,15443.38,2021-01-25,12,0,2024-12-31,False,False
ACC_00030,BRW_00030,Personal Loan,Salaried,478000,213905.0,11122.22,2021-09-26,60,0,2024-12-31,False,False
ACC_00031,BRW_00031,Credit Card,Salaried,276000,60950.0,24781.24,2023-09-24,12,0,2024-12-31,False,False
ACC_00032,BRW_00032,Business Loan,Self-Employed,694000,464594.44,23719.28,2023-10-28,36,0,2024-12-31,False,True
ACC_00033,BRW_00033,Personal Loan,Salaried,650000,465833.33,15124.36,2023-04-09,60,0,2024-12-31,True,True
ACC_00034,BRW_00034,Personal Loan,Salaried,72000,28650.0,3456.93,2023-07-18,24,0,2024-12-31,False,False
ACC_00035,BRW_00035,Auto Loan,Self-Employed,602000,275080.56,20574.93,2023-01-01,36,0,2024-12-31,False,False
ACC_00036,BRW_00036,Credit Card,Salaried,239000,52779.17,21459.12,2023-12-09,12,0,2024-12-31,True,True
ACC_00037,BRW_00037,Credit Card,Salaried,256000,56533.33,22985.5,2022-09-06,12,0,2024-12-31,False,False
ACC_00038,BRW_00038,Personal Loan,Salaried,776000,457193.33,18056.16,2022-07-11,60,0,2024-12-31,False,False
ACC_00039,BRW_00039,Personal Loan,Salaried,147000,46345.83,5024.11,2022-07-23,36,0,2024-12-31,False,False
ACC_00040,BRW_00040,Auto Loan,Salaried,293000,90646.88,8006.66,2021-09-23,48,0,2024-12-31,False,False
ACC_00041,BRW_00041,Personal Loan,Salaried,697000,334947.22,23821.81,2023-02-10,36,0,2024-12-31,False,False
ACC_00042,BRW_00042,Credit Card,Salaried,210000,46375.0,18855.29,2021-01-19,12,0,2024-12-31,True,True
ACC_00043,BRW_00043,Business Loan,Self-Employed,626000,342213.33,14565.93,2022-04-22,60,0,2024-12-31,False,False
ACC_00044,BRW_00044,Business Loan,Self-Employed,2764000,1785083.33,75530.38,2023-04-10,48,0,2024-12-31,False,False
ACC_00045,BRW_00045,Personal Loan,Salaried,639000,171287.5,21839.51,2022-05-20,36,0,2024-12-31,False,False
ACC_00046,BRW_00046,Personal Loan,Salaried,511000,112845.83,45881.22,2021-03-07,12,0,2024-12-31,False,False
ACC_00047,BRW_00047,Personal Loan,Salaried,580000,405395.83,15849.36,2023-07-11,48,0,2024-12-31,False,False
ACC_00048,BRW_00048,Personal Loan,Self-Employed,220000,160783.33,5119.02,2023-05-01,60,0,2024-12-31,False,False
ACC_00049,BRW_00049,Credit Card,Salaried,498000,109975.0,44713.98,2023-04-25,12,0,2024-12-31,False,False
ACC_00050,BRW_00050,Credit Card,Salaried,497000,109754.17,44624.2,2021-01-14,12,0,2024-12-31,False,False
